idp,x,y,z
815,-59.83753,-33.71684,1
816,-59.95846,-33.67041,0
817,-59.90748,-33.77983,2
818,-59.91199,-33.79689,2
819,-59.91392,-33.81526,0
820,-59.9167,-33.82489,0
821,-59.81644,-33.73847,0
822,-59.72438,-33.79681,0
823,-59.67122,-33.77808,2
824,-59.54588,-33.79707,0
825,-59.96319,-33.9744,2
826,-59.9049,-33.99949,2
827,-59.77889,-34.00743,0
828,-59.72014,-33.86192,2
829,-59.96769,-33.87489,1
830,-59.89134,-33.86813,2
831,-59.87805,-33.91676,2
833,-59.86679,-33.96249,0
834,-59.75165,-33.91287,2
835,-59.53874,-33.90567,0
836,-59.57394,-33.98019,2
837,-59.74059,-33.70777,NA
838,-61.41111,-33.97778,0
839,-61.48858,-33.97703,0
840,-61.443600000000004,-33.95318,NA
841,-61.30852,-33.98257,2
842,-61.32741,-33.86467,0
843,-61.39136,-33.84118,2
844,-61.41835,-33.90406,2
845,-61.41949,-33.98709,1
846,-61.42157,-33.98946,0
847,-61.46667,-33.9,0
848,-61.2625,-33.68333,0
849,-61.375,-30.76111,0
850,-61.36111,-33.77361,2
851,-61.42084,-33.74057,0
852,-61.42072,-33.74045,0
853,-61.4239,-33.74064,0
854,-61.4926,-33.77308,0
855,-61.35834,-33.701,NA
856,-61.34722,-33.67778,2
857,-61.2998,-33.67618,2
858,-61.36374,-33.82349,0
859,-61.27511,-33.79237,0
860,-60.83333,-34.65556,2
861,-58.29904,-31.33436,0
862,-60.83431,-34.6551,0
863,-60.94754,-34.64939,0
864,-60.94727,-34.64939,0
865,-60.79527,-34.5366,2
866,-60.7956,-34.53593,2
867,-60.94679,-34.64939,2
868,-60.98568,-34.551,2
869,-60.82024,-34.5905,0
870,-60.20667,-34.60139,0
871,-60.1504,-34.57761,2
872,-60.22233,-34.5179,0
873,-60.03814,-34.52395,0
874,-60.0237,-34.60943,0
875,-60.09044,-34.56209,0
878,-60.0538,-34.57331,2
879,-60.14857,-34.62498,1
880,-60.2327,-34.6238,0
882,-60.54204,-32.20442,1
883,-61.00812,-34.76822,2
884,-61.18602,-34.77951,2
885,-60.5743,-34.7807,0
887,-60.57766,-34.78389,0
888,-60.64958,-34.66698,2
889,-60.64694,-34.66512,2
890,-60.66309,-34.69627,0
891,-60.58762,-34.81052,0
893,-61.08998,-34.84298,2
894,-61.09209,-34.84094,0
895,-61.04374,-34.94284,2
896,-61.18272,-34.95432,0
897,-61.09214,-34.84766,2
898,-61.16582,-34.97983,2
899,-61.22076,-34.91206,2
900,-60.67946,-34.78038,NA
901,-60.72502,-34.70553,NA
902,-60.93126,-34.82609,NA
903,-60.99444,-34.88904,0
904,-60.95252,-34.90841,NA
905,-60.98326,-34.98081,NA
906,-60.77714,-34.9838,NA
907,-60.84068,-34.86548,NA
908,-60.69792,-34.96579,NA
909,-60.56833,-34.93336,NA
910,-60.52566,-34.96654,NA
911,-60.66154,-34.91251,2
1128,-60.83952,-34.7042,NA
1129,-60.86882,-34.8934,NA
1133,-60.69843,-34.8611,NA
1134,-60.27967,-34.67843,NA
1135,-60.27141,-34.68576,NA
1136,-60.26802,-34.68461,0
1137,-60.32884,-34.67534,2
1138,-60.25884,-34.73024,1
1139,-60.25282,-34.79803,NA
1140,-60.39933,-34.77646,0
1141,-60.40212,-34.77372,0
1142,-60.3266,-34.79555,0
1143,-60.32023,-34.79341,2
