idh,idp,y,x,top,bot,colh,cols,cec,bsum,bsat,oc,ph,clay,h_humedo,value_humedo,chroma_humedo,h_seco,value_seco,chroma_seco
26654,6037,"-36.05254","-58.15029",0,19,"10YR3/2","10YR3/2",24800,17900,"72.00","5.05","5.60","38.20","10YR",3,2,"10YR",3,2
26655,6037,"-36.05254","-58.15029",19,32,"10YR4/2","10YR6/2",7100,8700,"100.00","0.36","7.00","15.40","10YR",4,2,"10YR",6,2
26656,6037,"-36.05254","-58.15029",32,67,"5Y3/8",,36500,35600,"98.00","0.36","7.70","61.60","5Y",3,8,,,
26915,6038,"-36.10531","-58.19876",0,12,"10YR3/1",,,,,"3.14","7.60","40.20","10YR",3,1,,,
26916,6038,"-36.10531","-58.19876",12,33,"10YR4/1",,,,,"0.31","8.50","10.90","10YR",4,1,,,
26917,6038,"-36.10531","-58.19876",33,56,"5Y5/3",,,,,"0.10","8.40","11.90","5Y",5,3,,,
26674,6042,"-36.15007","-57.76322",0,9,"10YR2/1","10YR4.5/1",43800,30300,"69.00","10.88","6.00","30.70","10YR",2,1,"10YR",4.5,1
26675,6042,"-36.15007","-57.76322",9,15,"10YR3.5/2","10YR5.5/2",14000,14600,"100.00","1.25","7.00","26.90","10YR",3.5,2,"10YR",5.5,2
26676,6042,"-36.15007","-57.76322",15,49,"5Y5/2","5Y6/3",39800,39900,"100.00","0.29","8.50","60.40","5Y",5,2,"5Y",6,3
26677,6042,"-36.15007","-57.76322",49,63,"2.5Y4/2","2.5Y6/4",36600,36300,"100.00","0.23","8.60","48.40","2.5Y",4,2,"2.5Y",6,4
26703,6043,"-36.04185","-57.85655",0,16,"10YR3/1",,14300,11900,"83.00","2.34","6.00","23.50","10YR",3,1,,,
26704,6043,"-36.04185","-57.85655",16,32,"10YR3/3.5",,6900,8400,"100.00","0.25","7.40","16.60","10YR",3,3.5,,,
26705,6043,"-36.04185","-57.85655",32,50,"10YR3/4",,14700,17600,"100.00","0.21","8.10","27.50","10YR",3,4,,,
26706,6043,"-36.04185","-57.85655",50,82,"10YR3/2",,30000,30700,,"0.25","8.60","48.40","10YR",3,2,,,
26716,6047,"-36.09819","-57.87817",0,17,"10YR2/2",,27500,20700,"75.00","6.79","6.00","28.90","10YR",2,2,,,
26717,6047,"-36.09819","-57.87817",17,26,"10YR5/3",,8500,10200,"100.00","0.27","7.50","20.40","10YR",5,3,,,
26718,6047,"-36.09819","-57.87817",26,63,"5Y4/1",,40600,40000,"98.00","0.24","7.70","57.90","5Y",4,1,,,
26722,6048,"-36.15189","-57.95729",0,20,"10YR2/1","10YR4/2",29400,19200,"65.00","5.60","6.00","34.70","10YR",2,1,"10YR",4,2
26723,6048,"-36.15189","-57.95729",20,34,"10YR5/2","10YR7/2",8700,8300,"96.00","0.43","7.10","18.70","10YR",5,2,"10YR",7,2
26724,6048,"-36.15189","-57.95729",34,41,"10YR5/2","10YR6/3",12800,12300,"97.00","0.22","7.70","27.10","10YR",5,2,"10YR",6,3
26725,6048,"-36.15189","-57.95729",41,63,"2.5Y5/2","2.5Y6/2",29600,29800,"100.00","0.29","8.00","47.90","2.5Y",5,2,"2.5Y",6,2
26729,6049,"-36.15410","-58.00848",0,35,"10YR2/2","10YR4/2",14900,12900,"86.00","1.84","6.20","22.90","10YR",2,2,"10YR",4,2
26730,6049,"-36.15410","-58.00848",35,54,"10YR4/3","10YR5/3",10300,10300,"100.00","0.31","7.20","21.60","10YR",4,3,"10YR",5,3
26744,6052,"-36.15770","-57.76609",0,22,"10YR2.5/1","10YR4/2",17900,14900,"83.00","2.27","6.50","29.60","10YR",2.5,1,"10YR",4,2
26745,6052,"-36.15770","-57.76609",22,50,"10YR2/1","10YR3.5/1",17300,13400,"77.00","1.84","6.30","25.20","10YR",2,1,"10YR",3.5,1
26746,6052,"-36.15770","-57.76609",50,66,"7.5YR3/2","7.5YR4.5/2",9800,9600,"97.00","0.39","6.80","22.40","7.5YR",3,2,"7.5YR",4.5,2
26758,6054,"-36.12207","-57.61309",0,6,,,,,,,,,,,,,,
26759,6054,"-36.12207","-57.61309",6,30,"7.5YR3/2",,31900,,,"1.75","8.20","54.20","7.5YR",3,2,,,
26760,6054,"-36.12207","-57.61309",30,63,"2.5Y4/2",,36100,,,"0.37","8.70","72.10","2.5Y",4,2,,,
26763,6055,"-36.14412","-57.76322",0,13,"10YR2.5/1",,21800,20300,"93.00","4.22","6.70","23.50","10YR",2.5,1,,,
26764,6055,"-36.14412","-57.76322",13,23,"10YR3/1.5",,12300,14600,"100.00","1.17","8.00","16.60","10YR",3,1.5,,,
26765,6055,"-36.14412","-57.76322",23,51,"10YR4/2",,36400,37400,"100.00","0.18","8.50","53.30","10YR",4,2,,,
