idh	idp	top	cec	ca	mg	k	na	bsum_sisinta	bsum_calculada	bsat
288	369	0	19.6	12.6	1.8	1.8	1.3	18.3	0	93.3673469387755
289	369	17	21.1	13.8	1.9	1.9	1.2	19.7	0	93.3649289099526
290	369	24	35.6	21.6	2.5	2.5	1.5	32.2	0	90.4494382022472
295	370	0	21.8	12.5	3.4	2.2	1	19.1	1	87.6146788990826
296	370	14	22.6	12.6	3.3	2.2	1.4	19.5	0	86.283185840708
302	371	0	26.6	14.2	4.3	2.8	0.4	21.7	0	81.5789473684211
303	371	12	25.3	15.3	4.8	2.2	0.4	22.7	0	89.7233201581028
310	372	0	18.6	11.7	3.2	1.5	0.3	16.7	0	89.7849462365591
311	372	15	20.8	13.2	4	1	0.3	18.5	5	88.9423076923077
330	375	0	7.9	4.96	1.41	0.42	0.1	6.88	0	87.0886075949367
16405	375	17	7.9	5.25	2.22	0.23	0.1	7.8	0	98.7341772151899
331	376	0							0	
332	377	0	20.9	12.9	2.6	2.4	0.2	18.1	0	86.6028708133971
333	377	10	19.2	12.5	2.3	1.4	0.2	16.4	0	85.4166666666667
334	377	16	20.6	13.5	3.3	1.2	0.3	18.3	0	88.8349514563107
335	377	24	24.4	16.2	4.2	1.6	0.4	22.4	0	91.8032786885246
346	379	0	19.1	9.5	4.1	1.9	6.3	21.8	0	
347	379	16	20.2			2.1	12.2		0	
351	380	0	17.5	10.5	1.9	1.3	0.1	13.8	0	78.8571428571429
352	380	13	17.5	10.3	2.1	1.4	0.1	13.9	0	79.4285714285714
353	380	23	19.3	11.4	2.6	1.9	0.1	16	0	82.9015544041451
358	381	0	23.2	12.3	3.1	2.3	0.2	17.9	0	77.1551724137931
359	381	18	20.8	10.8	3.1	1.9	0.3	16.1	0	77.4038461538462
367	382	0	15.6	7.9	2	1.3	4.7	15.9	2	100
368	382	14	26.2	13.8	3.7	3.7	5.3	26.5	0	100
379	384	0	20.5	13	2.1	1.1	0.1	16.3	13	79.5121951219512
380	384	16	22.5	14.2	3.1	1.1	0.1	18.5	0	82.2222222222222
381	384	24	28	18.1	4.1	1.4	0.1	23.7	0	84.6428571428571
393	386	0	17.5	9.7	2.3	2.4	0.2	14.6	0	83.4285714285714
394	386	17	20.9	12.1	4.1	1.9	0.2	18.3	0	87.5598086124402
400	387	0	22.9	13.4	3.8	2.3	2.1	21.6	0	94.3231441048035
401	387	15	33.6			1.4			0	
405	388	0	18.1	8.2	3.9	2.7	0.6	15.4	0	85.0828729281768
406	388	19	15	7.1	2.9	2.1	0.9	13	0	86.6666666666667
411	389	0	33.7			3.8	13.1		0	
412	389	20	26.1			2.8	11.2		0	
416	390	0	17.5	10.3	2	1.4	0.1	13.8	2	78.8571428571429
417	390	10	18.2	10.8	2.1	1	0.2	14.1	1	77.4725274725275
431	392	0	20.4	10	3.6	1.5	0.1	15.2	10	74.5098039215686
432	392	15	21.9	13	2.5	1.5	0.1	17.1	13	78.0821917808219
438	393	0							0	
439	393	16	20	11.1	2.7	1.3	0.2	15.3	0	76.5
440	393	21	19.2	12.1	3	1.2	0.2	16.5	3	85.9375
446	394	0	18.9	9.8	2.6	2.3	0.3	15	0	79.3650793650794
447	394	15	17.1	9.2	1.8	1.6	0.7	13.3	0	77.7777777777778
455	395	0	15.9	5.4	3.2	3.1	0.7	12.4	0	77.9874213836478
456	395	21	32.7	11.9	8.4	3.7	7.6	31.6	0	96.6360856269113
460	396	0	19.3	11.1	1.7	1.4	0.1	14.3	0	74.0932642487047
461	396	23	19.6	11	3	1.1	0.1	15.2	14	77.5510204081633
466	397	0	18.6	10	2.9	2.1	0.1	15.1	10	81.1827956989247
467	397	12	19.3	11.2	1.9	2.3	0.1	15.5	0	80.3108808290155
480	399	0	20.7	12.3	1.8	2.2	0.1	16.4	0	79.2270531400966
481	399	18	20	11.5	1.6	1.6	0.1	14.8	0	74
488	400	0	13.8	6.1	2.2	2.1	1.5	11.9	0	86.231884057971
489	400	15	23.8	7.3	4.6	4.7	9	25.6	9	100
493	401	0	20.4	9.8	3.3	3.2	0.1	16.4	0	80.3921568627451
494	401	12	19.5	10.6	2.9	2	0.1	15.6	2	80
515	404	0	32.8			2.8	19.3		0	
516	404	20	52.4			4.5	27.4		0	
529	407	0	25.4	17.9	3.9	3	1.1	23.9	3	94.0944881889764
531	407	17	23.4	13.2	3	1.8	1.2	19.2	3	82.051282051282
