idh,idp,top,cec,ca,mg,k,na,bsum_sisinta,bsum_calculada,bsat,bsum_diff
17089,3787,0,23.6,NA,NA,1.3,0.81,NA,2.1100000000000003,NA,NA
17090,3787,13,26.3,NA,NA,0.71,0.95,NA,1.66,NA,NA
17077,3788,0,37.2,15,18.7,0.7,1.3,35.7,35.7,94.7,0
17078,3788,3,26.6,11.5,11.9,0.4,0.8,24.6,24.6,92.5,0
17080,3789,0,38.3,13.3,13.6,0.2,0.9,28,28,73.1,0
17081,3789,6,29.7,11.7,10.5,0.2,1.2,23.6,23.599999999999998,79.5,3.552713678800501e-15
17084,3790,0,49.5,31.3,9.5,0.4,1.9,43.1,43.1,87,0
17085,3790,6,45.3,32.2,9.9,0.4,0.7,43.2,43.2,95.4,0
17095,3791,0,47.5,20.9,12.1,0.2,0.5,33.7,33.699999999999996,70.9,7.105427357601002e-15
17096,3791,10,37.8,14.1,12.1,0.4,0.9,27.5,27.5,72.7,0
17097,3791,23,33.5,13,13.2,0.4,0.8,27.4,27.4,81.8,0
17103,3792,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17104,3792,15,NA,NA,NA,NA,NA,NA,0,NA,NA
17100,3793,0,24.7,11.6,10.2,0.4,0.5,22.7,22.7,91.9,0
17101,3793,12,22,8.6,10.3,0.2,0.9,20,20,90.9,0
17106,3794,0,28,12.8,7.6,0.2,1.3,21.9,21.900000000000002,78.2,-3.552713678800501e-15
17107,3794,8,29.3,11.7,10.2,0.3,1,23.2,23.2,78.2,0
17111,3795,0,59.5,34.2,17.9,0.3,0.7,53.1,53.1,89.2,0
17112,3795,0,58,36.6,12.8,1,1.2,51.6,51.6,89.5,0
17116,3796,0,40.1,13.2,15.1,0.5,1.1,29.9,29.9,74.6,0
17117,3796,13,31.5,10.2,14.2,0.3,0.7,25.4,25.4,80.6,0
17121,3797,0,36.4,14.5,10.4,0.5,0.8,26.2,26.2,72,0
17122,3797,13,33.4,10.2,11.6,0.5,0.9,23.2,23.2,69.5,0
17126,3798,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17127,3798,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17128,3798,14,NA,NA,NA,NA,NA,NA,0,NA,NA
17131,3799,0,22.5,14.4,3.4,2.3,0.2,20.3,20.3,100,0
17132,3799,7,18.8,13.9,2.7,2.5,0.5,19.6,19.6,100,0
17133,3799,16,17.2,11.7,2.7,2.5,1,17.9,17.9,100,0
17143,3800,0,31.5,13.25,5.22,2.1,0.49,NA,21.06,67,NA
17144,3800,16,31.1,16.54,7.27,1.68,0.5,NA,25.99,84,NA
17151,3801,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17152,3801,0,59.7,NA,NA,NA,NA,37.5,0,62.8,37.5
17155,3801,4,46.8,NA,NA,NA,NA,28.7,0,61.3,28.7
17156,3801,12,36.6,NA,NA,NA,NA,18.6,0,50.8,18.6
17157,3801,22,39.7,NA,NA,NA,NA,20.9,0,52.6,20.9
17136,3802,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17137,3802,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17138,3802,20,NA,NA,NA,NA,NA,NA,0,NA,NA
17146,3803,0,12.5,NA,NA,0.8,1.2,NA,2,NA,NA
17147,3803,20,19,NA,NA,0.9,0.7,NA,1.6,NA,NA
17150,3804,0,6.4,NA,NA,0.3,0.5,NA,0.8,NA,NA
17153,3805,0,61,31.24,21.7,3.26,2.5,NA,58.699999999999996,96,NA
17161,3806,0,23.5,5.28,4.88,0.31,0.39,NA,10.86,47,NA
17162,3806,17,16.1,9.9,5,0.3,0.58,NA,15.780000000000001,98,NA
17169,3807,0,15.5,16.8,5.9,1.7,2.8,NA,27.2,NA,NA
17166,3808,0,6.8,NA,NA,0.5,0.4,NA,0.9,NA,NA
17167,3808,9,7.2,NA,NA,0.6,0.4,NA,1,NA,NA
17174,3809,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17175,3809,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17177,3809,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17176,3809,4,NA,NA,NA,NA,NA,NA,0,NA,NA
17178,3810,0,10.1,5.3,1.3,0.88,0.18,NA,7.66,75.8,NA
17179,3810,16,15.2,6.5,1.9,1.19,0.48,NA,10.07,66.3,NA
17184,3811,0,14.8,4.9,4.2,0.85,0.4,NA,10.350000000000001,69.9,NA
17181,3812,0,7.7,NA,NA,0.8,0.9,NA,1.7000000000000002,NA,NA
17182,3812,14,7.7,NA,NA,0.6,1.1,NA,1.7000000000000002,NA,NA
17187,3813,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17188,3813,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17189,3813,0,21.8,20.3,9.7,0.6,0.3,30.9,30.9,NA,0
17190,3813,14,39.2,15.4,8.9,0.4,0.8,25.5,25.5,NA,0
17196,3814,0,62,23.3,9.21,0.9,0.62,NA,34.03,55,NA
17197,3814,5,46.9,19.06,5.27,0.3,0.43,NA,25.06,54,NA
17202,3815,0,49.2,27.53,9.07,1.23,0.66,NA,38.49,78,NA
17203,3815,5,23.3,1.77,1.45,0.47,0.21,NA,3.9,17,NA
17209,3816,0,16.9,11,1.1,1.4,0.1,13.6,13.6,80,0
17210,3816,0,16.4,12.1,2,1.5,0.3,15.9,15.9,96,0
17211,3816,0,11.8,9.7,1.7,1.4,0.3,13.1,13.1,100,0
17212,3816,0,23.5,18.6,1.4,1.8,0.4,22.2,22.200000000000003,94,-3.552713678800501e-15
17213,3816,0,21.9,16.7,3.6,2.7,0.5,23.5,23.5,100,0
17214,3816,0,21.9,15.3,4.1,2.7,0.5,22.6,22.6,100,0
17215,3816,0,22.8,15.1,3.7,2.6,0.5,21.9,21.9,96,0
17216,3816,0,21.7,13.8,4.4,2.3,0.9,21.4,21.400000000000002,99,-3.552713678800501e-15
17217,3817,0,12.5,10.9,3,1.28,0.22,NA,15.4,NA,NA
17223,3818,0,16.9,10.4,3.3,2.7,0.6,17,17,100,0
17224,3818,12,16.5,10.3,3,2.4,0.7,16.4,16.400000000000002,99,-3.552713678800501e-15
17232,3819,0,23.7,16.7,2.7,2.5,0.2,22.1,22.099999999999998,93,3.552713678800501e-15
17233,3819,15,25.9,20,2,3.1,0.2,25.3,25.3,98,0
17238,3820,0,21.9,10.45,7.93,1.53,0.46,NA,20.369999999999997,93,NA
17239,3820,13,16.4,7.25,4.73,1.47,1.09,NA,14.540000000000001,89,NA
17246,3822,0,17.5,10.8,4.3,1.4,0.4,16.9,16.900000000000002,96,-3.552713678800501e-15
17247,3822,0,20.1,12.6,5.7,1.8,0.7,20.8,20.8,100,0
17248,3822,0,18.2,11,2.4,1.1,0.7,15.2,15.2,83,0
17249,3822,0,25.9,15.1,4.8,1.6,3.2,24.7,24.7,95,0
17250,3822,0,28.7,16.4,5.1,1.9,3.7,27.1,27.099999999999998,94,3.552713678800501e-15
17251,3822,0,25.6,17,4.3,1.6,3,25.9,25.9,100,0
17252,3822,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17253,3822,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17254,3823,0,24.9,14.7,4.7,1.5,1.5,22.4,22.4,90,0
17255,3823,16,16,8.1,6.9,1.3,2.2,18.5,18.5,100,0
17259,3824,0,15.9,9.6,3.4,1.4,0.5,14.9,14.899999999999999,94,1.7763568394002505e-15
17260,3824,20,16.5,11.4,2,1.8,1.2,16.4,16.4,99,0
17325,3826,0,14.6,8.3,5.5,1.7,1.4,16.9,16.900000000000002,100,-3.552713678800501e-15
17326,3826,14,22.8,7.6,2.9,1.5,11.8,23.8,23.8,100,0
17264,3827,0,54.1,16.4,15.1,0.7,3.7,35.9,35.9,NA,0
17265,3827,4,37,12.8,8.3,0.9,1.2,23.2,23.200000000000003,NA,-3.552713678800501e-15
17273,3828,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17274,3828,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17281,3829,0,9.26,NA,NA,0.57,0.54,NA,1.1099999999999999,NA,NA
17284,3830,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17285,3830,15,NA,NA,NA,NA,NA,NA,0,NA,NA
17292,3832,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17293,3832,2,NA,NA,NA,NA,NA,NA,0,NA,NA
17300,3832,7,NA,NA,NA,NA,NA,NA,0,NA,NA
17301,3832,13,NA,NA,NA,NA,NA,NA,0,NA,NA
17289,3833,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17290,3833,20,NA,NA,NA,NA,NA,NA,0,NA,NA
17295,3834,0,19.62,NA,NA,1.44,0.43,NA,1.8699999999999999,NA,NA
17296,3834,18,20.16,NA,NA,1.44,0.54,NA,1.98,NA,NA
17308,3835,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17309,3835,15,NA,NA,NA,NA,NA,NA,0,NA,NA
17303,3836,0,20.6,19.7,5.5,1.8,1,NA,28,NA,NA
17304,3836,20,15.4,NA,2.6,1.7,1,NA,5.3,NA,NA
17312,3837,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17313,3837,8,NA,NA,NA,NA,NA,NA,0,NA,NA
17314,3837,21,NA,NA,NA,NA,NA,NA,0,NA,NA
17386,3838,0,20.2,13.2,1.5,2.5,0.2,17.4,17.4,86,0
17387,3838,24,16,10.7,1.4,2,0.2,14.3,14.299999999999999,90,1.7763568394002505e-15
17316,3839,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17320,3839,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17317,3839,1,NA,NA,NA,NA,NA,NA,0,NA,NA
17318,3839,9,NA,NA,NA,NA,NA,NA,0,NA,NA
17321,3840,0,64.2,45,16.4,0.71,3.77,NA,65.88,NA,NA
17322,3840,10,57.6,23.1,13.4,0.29,1.62,NA,38.410000000000004,66.7,NA
17331,3841,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17332,3841,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17333,3841,24,NA,NA,NA,NA,NA,NA,0,NA,NA
17335,3842,0,NA,17.6,11,1,1.4,31,31,NA,0
17336,3842,4,NA,24.4,17.8,0.4,4,46.6,46.6,NA,0
17349,3843,0,14.5,10.3,2.4,2.7,0.1,15.5,15.5,100,0
17350,3843,0,14.5,11.6,2.7,2.4,0.1,16.8,16.8,100,0
17351,3843,0,15.8,18,2.9,2.4,0.2,17.6,23.5,100,-5.899999999999999
17352,3843,0,15.4,12.9,2.3,NA,NA,18,15.2,100,2.8000000000000007
17353,3843,0,12.2,NA,NA,NA,NA,NA,0,NA,NA
17354,3843,0,15.5,NA,NA,NA,NA,NA,0,NA,NA
17355,3844,0,16.9,9.9,2.8,1.6,0.4,14.7,14.700000000000001,86,-1.7763568394002505e-15
17356,3844,11,15.7,8.9,3.1,1.2,0.5,13.7,13.700000000000001,87,-1.7763568394002505e-15
17357,3844,22,26.7,17.4,5.5,2.4,2.2,27.5,27.5,100,0
17360,3845,0,24.4,11.8,2.9,2.5,1.9,18.8,19.1,73,-0.3000000000000007
17361,3845,9,26.3,15.5,3.9,2.5,2.3,24.4,24.2,92,0.1999999999999993
17339,3846,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17340,3846,16,NA,NA,NA,NA,NA,NA,0,NA,NA
17341,3846,16,NA,NA,NA,NA,NA,NA,0,NA,NA
17344,3847,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17345,3847,7,NA,NA,NA,NA,NA,NA,0,NA,NA
17366,3848,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17367,3848,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17368,3848,20,NA,NA,NA,NA,NA,NA,0,NA,NA
17377,3849,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17378,3849,2,NA,NA,NA,NA,NA,NA,0,NA,NA
17379,3849,5,NA,NA,NA,NA,NA,NA,0,NA,NA
17369,3850,0,16.1,7.1,4.5,2.3,0.3,13.9,14.2,86,-0.29999999999999893
17370,3850,5,19.4,7.7,5.5,1.6,0.3,15.1,15.1,78,0
17371,3850,18,13.9,6.6,4.2,1,0.4,12.2,12.2,88,0
17380,3851,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17381,3851,4,NA,NA,NA,NA,NA,NA,0,NA,NA
17382,3851,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17383,3851,18,NA,NA,NA,NA,NA,NA,0,NA,NA
17395,3852,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17396,3852,14,NA,NA,NA,NA,NA,NA,0,NA,NA
17405,3854,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17406,3854,4,NA,NA,NA,NA,NA,NA,0,NA,NA
17407,3854,13,NA,NA,NA,NA,NA,NA,0,NA,NA
17409,3854,22,NA,NA,NA,NA,NA,NA,0,NA,NA
17411,3855,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17412,3855,5,NA,NA,NA,NA,NA,NA,0,NA,NA
17414,3855,11,NA,NA,NA,NA,NA,NA,0,NA,NA
17416,3856,0,23.4,11.5,9.1,0.3,0.5,21.4,21.4,NA,0
17417,3856,4,26,13,7.7,1.8,1.4,23.9,23.9,NA,0
17418,3856,9,39.6,23.8,12.6,0.3,0.9,37.6,37.6,NA,0
17419,3856,13,47.7,28.5,14.5,0.7,1.9,45.6,45.6,NA,0
17420,3856,24,NA,NA,NA,NA,NA,NA,0,NA,NA
17422,3857,0,22.6,15.4,2.8,2.2,0.2,20.6,20.6,91,0
17423,3857,7,21,15.1,3,2,0.2,19.3,20.3,92,-1
17424,3857,19,23.1,15.7,4.4,1.8,0.3,22.2,22.2,96,0
17429,3858,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17430,3858,3,NA,NA,NA,NA,NA,NA,0,NA,NA
17431,3858,15,NA,NA,NA,NA,NA,NA,0,NA,NA
17436,3860,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17439,3860,4,35.4,14.3,8.8,0.91,0.44,NA,24.450000000000003,69,NA
17440,3860,20,11.6,2.2,1.5,0.06,0.32,NA,4.08,35,NA
17445,3861,0,24.5,15.7,4.2,2.1,4.9,26.9,26.9,100,0
17446,3861,14,20.6,12,4.2,2,5.8,24,24,100,0
17453,3862,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17454,3862,4,NA,NA,NA,NA,NA,NA,0,NA,NA
17455,3862,15,NA,NA,NA,NA,NA,NA,0,NA,NA
17459,3863,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17460,3863,20,NA,NA,NA,NA,NA,NA,0,NA,NA
17457,3864,0,17,NA,NA,1.9,5.5,NA,7.4,NA,NA
17458,3864,14,18.2,NA,NA,1.4,4.6,NA,6,NA,NA
17465,3865,0,17.2,11.5,3.8,1,0.3,16.6,16.6,97,0
17466,3865,4,21.7,11.6,7.3,0.9,1.7,21.5,21.5,99,0
17467,3865,18,23.3,17.1,5.6,1.4,6.1,30.2,30.2,100,0
17470,3866,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17471,3866,4,NA,NA,NA,NA,NA,NA,0,NA,NA
17472,3866,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17475,3867,0,20.9,11.8,4.6,2.6,1.3,20.3,20.3,100,0
17476,3867,9,21.8,10.9,5.9,2.9,4.2,23.9,23.900000000000002,100,-3.552713678800501e-15
17477,3867,19,25.2,NA,NA,2.7,5,NA,7.7,NA,NA
17481,3868,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17482,3868,1,NA,NA,NA,NA,NA,NA,0,NA,NA
17483,3868,7,NA,NA,NA,NA,NA,NA,0,NA,NA
17484,3868,17,NA,NA,NA,NA,NA,NA,0,NA,NA
17485,3868,22,NA,NA,NA,NA,NA,NA,0,NA,NA
17488,3869,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17489,3869,12,NA,NA,NA,NA,NA,NA,0,NA,NA
17493,3870,0,28.3,21.2,5.1,3.3,0.2,29.8,29.799999999999997,100,3.552713678800501e-15
17494,3870,0,28.5,20.9,4.6,2.9,0.6,29,28.999999999999996,100,3.552713678800501e-15
17495,3870,0,27.4,24.2,3.7,3.8,0.6,38.3,32.3,100,6
17496,3870,0,28.5,38.4,3.5,4,8.3,54.2,54.2,100,0
17497,3871,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17498,3872,0,11.7,4.4,2.4,1.4,0.3,8.5,8.5,72,0
17503,3872,20,14.9,6.4,2.1,1.5,0.3,10.3,10.3,70,0
17512,3873,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17513,3873,3,NA,NA,NA,NA,NA,NA,0,NA,NA
17514,3873,22,NA,NA,NA,NA,NA,NA,0,NA,NA
17506,3874,0,18.1,12.1,3.4,2.1,0.4,18,18,99,0
17507,3874,0,13.9,10.1,2.4,1.6,0.4,14.4,14.5,100,-0.09999999999999964
17508,3874,21,15.8,12.2,1.8,2.3,0.3,16.6,16.599999999999998,100,3.552713678800501e-15
17533,3875,0,16.9,10,4.3,1.3,0.7,16.3,16.3,96,0
17517,3876,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17518,3876,2,NA,NA,NA,NA,NA,NA,0,NA,NA
17519,3876,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17520,3876,20,NA,NA,NA,NA,NA,NA,0,NA,NA
17521,3877,0,19.3,13.1,5.3,2.5,0.4,21.3,21.3,100,0
17522,3877,17,18.3,9.6,4,2.3,0.8,16.7,16.7,96,0
17527,3878,0,20,12.6,6.6,2.5,0.2,21.9,21.9,100,0
17528,3878,11,19.6,15.3,2.1,2.5,0.2,20.1,20.1,100,0
17529,3878,24,22.3,17.3,3.5,2.5,0.2,23.5,23.5,100,0
17537,3879,0,33.9,19.6,12.2,0.8,1.4,33.9,34,NA,-0.10000000000000142
17538,3879,3,45.8,27.6,11.9,2,4.3,45.8,45.800000000000004,NA,-7.105427357601002e-15
17539,3879,12,32.62,18.2,12.4,2,0.02,32.62,32.62,NA,0
17540,3879,22,NA,NA,NA,NA,NA,NA,0,NA,NA
17541,3880,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17542,3880,2,NA,NA,NA,NA,NA,NA,0,NA,NA
17543,3880,7,NA,NA,NA,NA,NA,NA,0,NA,NA
17544,3880,18,NA,NA,NA,NA,NA,NA,0,NA,NA
17545,3881,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17546,3881,5,NA,NA,NA,NA,NA,NA,0,NA,NA
17547,3881,12,NA,NA,NA,NA,NA,NA,0,NA,NA
17548,3881,24,NA,NA,NA,NA,NA,NA,0,NA,NA
17549,3882,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17550,3882,7,NA,NA,NA,NA,NA,NA,0,NA,NA
17551,3882,12,NA,NA,NA,NA,NA,NA,0,NA,NA
17555,3883,0,24.6,15,2.3,3,0.9,21.2,21.2,100,0
17556,3883,17,22.8,13.5,1.6,4.4,4.8,24.3,24.3,100,0
17559,3884,0,19.4,13.5,2.8,2.6,0.5,19.4,19.4,100,0
17560,3884,19,19.4,14,2.2,2.3,0.4,18.9,18.9,97,0
17566,3885,0,15.9,9.9,4.2,2,0.2,16.3,16.3,100,0
17567,3885,15,16.5,9.7,3.5,2.1,0.2,15.5,15.5,94,0
17573,3886,0,28.8,16.6,3.6,2.4,0.4,23,23,80,0
17574,3886,20,27.2,13.3,4.3,2,0.5,20.1,20.1,74,0
17579,3887,0,11.8,7.1,4.7,0.6,0.2,12.6,12.6,100,0
17580,3887,10,12,7.8,2.9,0.5,0.3,11.5,11.5,96,0
17584,3888,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17585,3888,5,NA,NA,NA,NA,NA,NA,0,NA,NA
17589,3889,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17590,3889,3,NA,NA,NA,NA,NA,NA,0,NA,NA
17591,3889,22,NA,NA,NA,NA,NA,NA,0,NA,NA
17594,3890,0,29.7,17.8,7.1,1.7,1,27.6,27.6,NA,0
17595,3890,7,28.5,16,6.5,0.6,3.3,26.4,26.4,NA,0
17596,3890,19,25.4,17.7,3.4,0.4,1.8,23.3,23.3,NA,0
17600,3891,0,26.3,13.3,8.8,0.9,1.3,24.3,24.3,NA,0
17601,3891,11,24.8,9.2,11.2,0.4,2,22.8,22.799999999999997,NA,3.552713678800501e-15
17605,3892,0,27.1,16.3,11.7,1.7,3.8,33.5,33.5,100,0
17606,3892,14,24.6,12.9,13.5,2.2,5.9,34.5,34.5,100,0
17610,3893,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17611,3893,12,NA,NA,NA,NA,NA,NA,0,NA,NA
17614,3894,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17615,3894,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17619,3895,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17620,3895,20,NA,NA,NA,NA,NA,NA,0,NA,NA
17622,3896,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17623,3896,23,NA,NA,NA,NA,NA,NA,0,NA,NA
17627,3897,0,34.6,22.7,5.8,3,2.4,31.9,33.9,100,-2
17628,3897,14,33.9,20.2,5.6,3.2,5.2,35.2,34.2,100,1
17632,3898,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17633,3898,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17634,3898,0,NA,59.2,21.8,1.2,1.3,83.5,83.5,NA,0
17635,3898,12,NA,23.6,17.3,1.1,2.6,44.6,44.6,NA,0
17636,3898,24,NA,14.3,12.2,0.6,0.5,27.6,27.6,NA,0
17638,3899,0,90.7,47.9,21.3,1.2,5.8,76.2,76.2,NA,0
17639,3899,14,51.7,15.4,15.6,2.8,3.4,37.2,37.2,NA,0
17644,3900,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17645,3900,2,NA,NA,NA,NA,NA,NA,0,NA,NA
17646,3900,18,NA,NA,NA,NA,NA,NA,0,NA,NA
17650,3901,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17651,3901,2,25.5,15.4,6.8,0.4,0.9,23.5,23.5,NA,0
17652,3901,6,27.4,16.1,8.1,0.3,0.8,25.3,25.3,NA,0
17653,3901,12,28.8,17.6,7.6,0.4,1.1,26.7,26.700000000000003,NA,-3.552713678800501e-15
17654,3901,20,32.4,20.7,8.1,0.5,1,30.3,30.299999999999997,NA,3.552713678800501e-15
17657,3902,0,17.6,10.6,3.3,2.3,0.4,16.6,16.599999999999998,94,3.552713678800501e-15
17658,3902,20,15.7,14.4,2,2.2,0.5,16.1,19.1,100,-3
17663,3903,0,10,6,3.3,1,0.2,10.5,10.5,100,0
17664,3903,4,12.1,80.1,1.8,1.1,2.4,13.4,85.39999999999999,100,-71.99999999999999
17665,3903,18,20.2,14.4,3.2,1.7,5,24.3,24.3,100,0
17668,3904,0,21.1,19.6,2.3,3,3.2,24.5,28.1,100,-3.6000000000000014
17669,3904,6,22.6,18.3,3.3,3.3,6.4,33.9,31.3,100,2.599999999999998
17673,3905,0,32.55,14,4.3,0.29,0.26,NA,18.85,NA,NA
17674,3905,18,34.72,14,6,0.25,1.4,NA,21.65,NA,NA
17678,3906,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17679,3906,12,NA,NA,NA,NA,NA,NA,0,NA,NA
17681,3907,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17682,3907,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17683,3908,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17684,3908,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17685,3909,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17686,3909,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17687,3910,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17688,3910,15,NA,NA,NA,NA,NA,NA,0,NA,NA
17692,3912,0,22.8,14,3.7,2.9,0.2,20.8,20.8,91,0
17693,3912,9,26.4,18.7,3.8,2.5,0.2,25.2,25.2,95,0
18829,3913,0,9.4,7.4,1.8,1.4,0.2,10.8,10.8,100,0
18830,3913,11,13.1,9.1,4.7,1.4,0.4,15.6,15.6,100,0
17703,3914,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17704,3914,6,NA,NA,NA,NA,NA,NA,0,NA,NA
17697,3915,0,23.18,8.74,1.98,0.7,0.21,NA,11.63,NA,NA
17698,3915,15,16.89,NA,NA,0.12,0.67,NA,0.79,NA,NA
17700,3916,0,11.59,3.54,0.58,0.32,0.1,NA,4.54,NA,NA
17701,3916,15,11.83,4.12,0.58,0.44,0.32,NA,5.46,NA,NA
17708,3917,0,52.4,29,8.8,1.3,1.4,40.5,40.5,NA,0
17711,3917,20,33.7,18.5,6.8,0.3,1.6,27.2,27.2,NA,0
17712,3918,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17713,3918,5,NA,NA,NA,NA,NA,NA,0,NA,NA
17714,3918,21,NA,NA,NA,NA,NA,NA,0,NA,NA
17717,3919,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17718,3919,4,34.2,14.4,16,0.6,1.2,32.2,32.2,NA,0
17719,3919,12,52.9,24,23.8,0.8,1.6,50.2,50.2,NA,0
17720,3919,19,212.9,156.2,48.4,1.2,7.1,212.9,212.89999999999998,NA,2.842170943040401e-14
17725,3920,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17726,3920,5,NA,NA,NA,NA,NA,NA,0,NA,NA
17727,3920,15,NA,NA,NA,NA,NA,NA,0,NA,NA
17728,3920,20,NA,NA,NA,NA,NA,NA,0,NA,NA
17730,3921,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17731,3921,3,NA,NA,NA,NA,NA,NA,0,NA,NA
17732,3921,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17733,3921,21,NA,NA,NA,NA,NA,NA,0,NA,NA
17743,3922,0,49,31.9,12.5,1.5,1.1,47,47,NA,0
17744,3922,2,36.7,24.6,7,1.9,1.2,34.7,34.7,NA,0
17745,3922,10,58.8,40.3,11.5,0.8,6.2,58.8,58.8,NA,0
17746,3922,20,52.5,30.6,17.1,1.1,3.7,52.5,52.5,NA,0
17750,3924,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17755,3924,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17751,3924,6,NA,NA,NA,NA,NA,NA,0,NA,NA
17752,3924,17,NA,NA,NA,NA,NA,NA,0,NA,NA
17753,3924,24,NA,NA,NA,NA,NA,NA,0,NA,NA
17762,3925,0,15.2,8.3,2.9,1.5,1.9,14.6,14.600000000000001,100,-1.7763568394002505e-15
17763,3925,3,25.5,15.5,3,2.6,6.8,27.9,27.9,100,0
17764,3925,19,27.6,15.3,5.4,2.5,11.6,34.8,34.8,100,0
17756,3926,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17757,3926,3,NA,NA,NA,NA,NA,NA,0,NA,NA
17758,3926,10,NA,NA,NA,NA,NA,NA,0,NA,NA
17759,3926,22,NA,NA,NA,NA,NA,NA,0,NA,NA
17768,3927,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17769,3927,12,26.3,NA,NA,1.5,0.79,NA,2.29,NA,NA
17773,3928,0,22.4,NA,NA,2.5,0.14,NA,2.64,NA,NA
17774,3928,16,1.8,NA,NA,0.15,0.01,NA,0.16,NA,NA
17775,3929,0,15.4,NA,NA,0.91,0.01,NA,0.92,NA,NA
17776,3929,19,11.2,NA,NA,0.76,0.01,NA,0.77,NA,NA
17781,3930,0,8.1,NA,NA,0.85,0.01,NA,0.86,NA,NA
17782,3930,14,7,NA,NA,0.5,0.01,NA,0.51,NA,NA
17795,3931,0,NA,NA,NA,NA,NA,NA,0,NA,NA
17796,3931,17,NA,NA,NA,NA,NA,NA,0,NA,NA
17799,3932,0,15.1,NA,4.9,1.2,6.6,NA,12.7,NA,NA
