idh,idp,top,cec,ca,mg,k,na,bsum_sisinta,bsum_calculada,bsat,bsum_diff
2497,724,16,27.1,18.3,3.4,1.7,0.6,24,24,89,0
2504,725,0,16.6,8.9,2.5,1,2.1,14.5,14.5,87,0
2505,725,19,28.5,9.3,8.2,3.4,9.7,30.6,30.599999999999998,100,3.552713678800501e-15
2509,726,0,27,17.4,3.5,2.5,0.6,24,24,89,0
2510,726,14,27.9,17.6,3.5,2.5,1.7,25.3,25.3,91,0
2516,727,0,25.9,17.1,3.3,1.7,0.4,22.5,22.5,87,0
2517,727,17,23.7,16.9,2.8,1.2,0.5,21.4,21.4,90,0
2523,728,0,25.9,10,6.6,4.1,3.4,24.1,24.099999999999998,93,3.552713678800501e-15
2524,728,13,46.9,13.9,8.5,7.6,11.5,41.5,41.5,89,0
2530,729,0,26.5,16.3,5.2,1.4,0.4,23.3,23.3,88,0
2531,729,15,25.4,16.3,5.1,1,0.4,22.8,22.8,90,0
2538,730,0,23.9,14.9,2.1,3.4,0.4,20.8,20.8,87,0
2539,730,19,23.4,14.3,2.3,2.7,0.4,19.7,19.7,84,0
2545,731,0,20,11.7,2.5,2,0.9,17.1,17.099999999999998,86,3.552713678800501e-15
