idh,idp,y,x,top,bot,colh,cols,cec,bsum,bsat,oc,ph,clay,h_humedo,value_humedo,chroma_humedo,h_seco,value_seco,chroma_seco
2711,755,-34.55878,-59.690846,0,14,10YR 3/2,NA,19.6,18.8,100,1.61,8.6,18,10YR,3,2,NA,,
2712,755,-34.55878,-59.690846,14,43,10YR 3/2,NA,46.1,NA,NA,0.76,9.5,56.9,10YR,3,2,NA,,
2713,755,-34.55878,-59.690846,43,68,7.5YR 4/4,NA,37.3,NA,NA,0.34,9.5,34.3,7.5YR,4,4,NA,,
2716,756,-33.951391,-60.554169,0,19,10YR 3/2,10YR 5/2,16.1,11.6,72,1.6,6.2,21.8,10YR,3,2,10YR,5,2
2717,756,-33.951391,-60.554169,19,28,7.5YR 4/2,7.5YR 7/2,12.1,9.8,81,0.72,6.8,19.7,7.5YR,4,2,7.5YR,7,2
2718,756,-33.951391,-60.554169,28,50,7.5YR 5/4,7.5YR 3/2,21.5,20.3,94,0.5,7.3,32.8,7.5YR,5,4,7.5YR,3,2
2719,756,-33.951391,-60.554169,50,73,7.5YR 4/2,NA,28.8,NA,NA,0.27,8,35.4,7.5YR,4,2,NA,,
2723,757,-33.949999,-60.550002,0,20,10YR 3/2,NA,22.8,18.7,82,1.87,6,25,10YR,3,2,NA,,
2724,757,-33.949999,-60.550002,20,45,10YR 2/1,NA,24.2,21.6,89,1.1,6.2,28.4,10YR,2,1,NA,,
2725,757,-33.949999,-60.550002,45,60,10YR 3/3,NA,19.5,17.5,90,0.63,6.3,29.4,10YR,3,3,NA,,
2730,758,-33.966668,-60.699999,0,15,10YR 3/2,NA,20.5,17.2,84,1.85,5.7,22.9,10YR,3,2,NA,,
2731,758,-33.966668,-60.699999,15,28,10YR 3/1,NA,21.7,17.6,81,1.63,5.8,23.4,10YR,3,1,NA,,
2732,758,-33.966668,-60.699999,28,46,10YR 3/2,NA,18.8,15.8,84,0.89,6,27,10YR,3,2,NA,,
2733,758,-33.966668,-60.699999,46,69,7.5YR 4/2,NA,25.5,22.9,90,0.56,6.4,35.8,7.5YR,4,2,NA,,
2737,759,-33.85,-60.666665,0,13,10YR 3/2,10YR 5/2,21.1,17.8,84,1.69,5.9,22.7,10YR,3,2,10YR,5,2
2738,759,-33.85,-60.666665,13,25,10YR 3/1,NA,20.3,17.9,88,1.48,6.1,22.8,10YR,3,1,NA,,
2739,759,-33.85,-60.666665,25,34,10YR 3/2,NA,18.6,17.1,92,0.87,6.2,30.3,10YR,3,2,NA,,
2740,759,-33.85,-60.666665,34,75,7.5YR 3/2,NA,32,28.1,88,0.64,6.3,43.5,7.5YR,3,2,NA,,
2744,760,-33.933334,-60.649998,0,22,10YR 3/2,NA,21.4,17.8,83,2.05,5.9,22.6,10YR,3,2,NA,,
2745,760,-33.933334,-60.649998,22,34,10YR 3/1,NA,21.9,18,82,1.56,5.7,23.7,10YR,3,1,NA,,
2746,760,-33.933334,-60.649998,34,49,10YR 3/3,NA,19.6,16.6,85,0.79,6,27.4,10YR,3,3,NA,,
2747,760,-33.933334,-60.649998,49,74,7.5YR 4/2,NA,23.3,20.6,88,0.64,6.2,32.7,7.5YR,4,2,NA,,
2750,761,-34.490808,-59.355026,0,15,10YR 3/2,10YR 4/2,20.7,18.4,89,1.69,5.8,18.3,10YR,3,2,10YR,4,2
2751,761,-34.490808,-59.355026,15,27,10YR 2/2,10YR 4/2,21.8,18,82,1.43,6,25.3,10YR,2,2,10YR,4,2
2752,761,-34.490808,-59.355026,27,37,7.5YR 3/2,7.5YR 4/2,18.9,15,79,0.87,6.3,20.9,7.5YR,3,2,7.5YR,4,2
2753,761,-34.490808,-59.355026,37,63,7.5YR 4/2,7.5YR 5/4,35.4,30.3,85,0.52,6.9,50,7.5YR,4,2,7.5YR,5,4
2758,762,-33.977248,-60.551499,0,22,10YR 2/1,NA,37.3,NA,NA,2.73,8,NA,10YR,2,1,NA,,
2759,762,-33.977248,-60.551499,22,60,10YR 5/2,NA,29.6,NA,NA,0.44,8.7,NA,10YR,5,2,NA,,
2760,763,-34.491253,-59.353064,0,11,10YR 3/2,10YR 5/2,18.5,15.9,86,1.6,5.9,12,10YR,3,2,10YR,5,2
2761,763,-34.491253,-59.353064,11,18,10YR 5/2,10YR 5/2,19.1,19.1,100,0.97,8.3,19.3,10YR,5,2,10YR,5,2
2762,763,-34.491253,-59.353064,18,22,10YR 2/2,10YR 3/2,31.6,30.3,96,0.72,8.8,40.1,10YR,2,2,10YR,3,2
2763,763,-34.491253,-59.353064,22,42,7.5YR 3/2,7.5YR 4/2,36.8,NA,NA,0.57,9.2,41,7.5YR,3,2,7.5YR,4,2
2764,763,-34.491253,-59.353064,42,64,7.5YR 3/2,7.5YR 4/2,37.2,NA,NA,0.39,9.4,NA,7.5YR,3,2,7.5YR,4,2
2768,764,-34.443696,-59.345018,0,15,10YR 3/2,10YR 5/2,21.7,18.9,87,1.5,6.2,22.3,10YR,3,2,10YR,5,2
2769,764,-34.443696,-59.345018,15,29,10YR 3/2,10YR 4/2,24.1,21.1,88,2.38,5.9,23.3,10YR,3,2,10YR,4,2
2770,764,-34.443696,-59.345018,29,35,10YR 4/2,10YR 6/2,19.9,17.5,88,0.8,6.3,29.8,10YR,4,2,10YR,6,2
2771,764,-34.443696,-59.345018,35,56,10YR 4/2,10YR 5/2,30.8,28.3,92,0.71,7,41.8,10YR,4,2,10YR,5,2
2775,765,-34.368464,-59.30128,0,10,10YR 3/3,10YR 5/2,28.8,26.9,93,3.62,5.6,26.2,10YR,3,3,10YR,5,2
2776,765,-34.368464,-59.30128,4,0,10YR 3/3,10YR 5/2,24.5,21.2,86,2.24,5.5,29,10YR,3,3,10YR,5,2
2777,765,-34.368464,-59.30128,10,20,10YR 3/2,10YR 5/2,24.1,20,83,2.1,5.5,25.9,10YR,3,2,10YR,5,2
2778,765,-34.368464,-59.30128,20,30,10YR 3/2,10YR 4/2,19.8,17.2,87,1.25,5.9,26.4,10YR,3,2,10YR,4,2
2779,765,-34.368464,-59.30128,30,64,10YR 3/3,10YR 3/4,32.2,29.1,90,0.63,6.1,45,10YR,3,3,10YR,3,4
2785,766,-33.966668,-60.666665,0,30,10YR 3/1,NA,22.8,18.7,82,2.04,6.6,26.3,10YR,3,1,NA,,
2786,766,-33.966668,-60.666665,30,40,10YR 3/3,NA,19.8,16.7,84,0.93,6.4,27,10YR,3,3,NA,,
2787,766,-33.966668,-60.666665,40,70,7.5YR 4/2,NA,28.5,23.7,83,0.62,6.3,39.4,7.5YR,4,2,NA,,
2792,767,-33.900001,-60.649999,0,16,10YR 3/2,NA,21.2,16.8,79,1.97,5.4,26,10YR,3,2,NA,,
2793,767,-33.900001,-60.649999,16,28,10YR 3/1,NA,20.7,16.5,80,1.69,5.8,27.4,10YR,3,1,NA,,
2794,767,-33.900001,-60.649999,28,39,10YR 3/2,NA,18,15,83,0.8,6,23.4,10YR,3,2,NA,,
2795,767,-33.900001,-60.649999,39,66,7.5YR 4/2,NA,26.8,22.2,89,0.6,6.1,35.8,7.5YR,4,2,NA,,
2801,768,-33.849999,-60.616667,0,13,10YR 3/2,NA,21.8,16.9,78,1.86,6,24.5,10YR,3,2,NA,,
2802,768,-33.849999,-60.616667,13,23,10YR 3/1,NA,23,18,78,1.49,5.8,27.8,10YR,3,1,NA,,
2803,768,-33.849999,-60.616667,23,30,10YR 3/3,NA,NA,NA,NA,NA,NA,NA,10YR,3,3,NA,,
2804,768,-33.849999,-60.616667,30,62,7.5YR 4/2,NA,30.9,24.8,80,0.59,6.2,43,7.5YR,4,2,NA,,
2810,769,-34.43333,-59.383335,0,16,10YR 3/1,10YR 5/1,20.2,18.5,92,1.91,5.5,18.8,10YR,3,1,10YR,5,1
2811,769,-34.43333,-59.383335,19,29,10YR 4/2,10YR 5/2,20.8,19.1,92,1.65,5.7,28.3,10YR,4,2,10YR,5,2
2812,769,-34.43333,-59.383335,29,34,10YR 3/2,10YR 5/2,18.3,16,87,1.13,6.1,25.9,10YR,3,2,10YR,5,2
2813,769,-34.43333,-59.383335,34,68,10YR 4/2,10YR 5/2,33.4,31,93,0.67,6.4,52,10YR,4,2,10YR,5,2
2820,770,-34.342537,-59.485464,0,15,10YR 2/2,10YR 3/2,32.5,28.1,86,2.7,5.3,38,10YR,2,2,10YR,3,2
2821,770,-34.342537,-59.485464,15,25,10YR 2/2,10YR 2/2,33.6,31.5,94,1.76,6.2,47.9,10YR,2,2,10YR,2,2
2822,770,-34.342537,-59.485464,25,51,10YR 3/4,10YR 3/3,34.2,32.6,95,1,6.5,49.7,10YR,3,4,10YR,3,3
2829,771,-33.933335,-60.550003,0,15,10YR 3/2,NA,20.4,16.5,81,1.33,5.3,31.1,10YR,3,2,NA,,
2830,771,-33.933335,-60.550003,15,26,10YR 3/2,NA,19.6,16.7,85,1.09,5.5,33.3,10YR,3,2,NA,,
2831,771,-33.933335,-60.550003,26,57,7.5YR 4/2,NA,28.8,26.1,91,0.58,6.1,43,7.5YR,4,2,NA,,
2841,772,NA,NA,0,17,10YR 3/1,NA,NA,NA,NA,NA,NA,NA,10YR,3,1,NA,,
2842,772,NA,NA,17,28,10YR 2.5/1,NA,NA,NA,NA,NA,NA,NA,10YR,2.5,1,NA,,
2843,772,NA,NA,28,38,10YR 3/3,NA,NA,NA,NA,NA,NA,NA,10YR,3,3,NA,,
2844,772,NA,NA,38,68,7.5YR 4/2,7.5YR 3/2,NA,NA,NA,NA,NA,NA,7.5YR,4,2,7.5YR,3,2
2849,773,-33.886455,-60.55423,0,20,10YR 3.5/2,10YR 6/2,21.2,18.5,87,2.75,6.8,25.5,10YR,3.5,2,10YR,6,2
2850,773,-33.886455,-60.55423,20,38,10YR 3/2,NA,28.6,NA,NA,1.22,8.4,32.7,10YR,3,2,NA,,
2851,773,-33.886455,-60.55423,38,55,7.5YR 4/2,NA,23.7,NA,NA,0.3,8.9,28.4,7.5YR,4,2,NA,,
2854,774,-34.399342,-59.476242,0,18,10YR 3/2,NA,23.2,21.7,94,2.21,6.5,26.4,10YR,3,2,NA,,
2855,774,-34.399342,-59.476242,18,29,10YR 3/2,NA,23.3,22.3,96,1.67,6.7,30.7,10YR,3,2,NA,,
2856,774,-34.399342,-59.476242,29,40,10YR 3/2.5,NA,21.4,20.4,95,1,6.8,32.2,10YR,3,2.5,NA,,
2857,774,-34.399342,-59.476242,40,67,7.5YR 4/2,NA,35.2,33.1,94,0.28,6.5,53.3,7.5YR,4,2,NA,,
2862,775,-34.397301,-59.474352,0,15,10YR 3/2,10YR 4/2,20.9,18.7,90,1.84,6.8,25.3,10YR,3,2,10YR,4,2
2863,775,-34.397301,-59.474352,15,24,10YR 3/2,NA,23,23.7,100,1.25,7.4,27.9,10YR,3,2,NA,,
2864,775,-34.397301,-59.474352,24,54,7.5YR 4/3,NA,33.1,33.9,100,0.91,8.1,49.5,7.5YR,4,3,NA,,
2870,776,-34.416667,-59.349999,0,12,10YR 3/2,10YR 6/2,20.7,19.1,93,1.69,7,23.8,10YR,3,2,10YR,6,2
2871,776,-34.416667,-59.349999,12,28,10YR 2/2,10YR 4/2,32.3,33.9,100,1.09,8,43.7,10YR,2,2,10YR,4,2
